ref	worktree	date	ahead_v3	behind_v3	ahead_main	behind_main	WEB_f8dca88	APC_60df033	CCPc_66efcd7	AFF_764effd	REV_2ee2baf	BOOK_f8dca88	CCP_e2c37c9	G1_c07e98b	G2_f25f542	G3_7796ac5	M_89e65f7	M_2e3ec8a	M_968472e	MAIN_842379b	subject
feat/controller-v2-b8-break-glass	-	2026-08-20 12:15	2	197	2	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): B8 — break-glass Owner recovery, a database operation the
feat/controller-v2-component3-rbac	-	2026-08-06 10:34	0	416	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): re-baseline the PR package onto 0654f45
feat/controller-v2-component4-audited-pdp	-	2026-08-07 10:18	0	405	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): PR-freeze review — unreachable branch, false doc claim
feat/controller-v2-component5-capability-registry	-	2026-08-07 10:48	1	402	1	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): freeze Component 5 as ADR-018, re-prioritise the roadmap
feat/controller-v2-component7-audit-chain	-	2026-08-07 13:22	0	391	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): Component 7 — PR freeze review, three defects and doc drif
feat/controller-v2-component9a-admin-client	-	2026-08-07 11:12	0	400	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): BL-9A-01 — the service-role client outside src/
feat/controller-v2-f08	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-f08	2026-08-09 14:11	0	376	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): Enterprise Command Center Home (FOUNDATION-08) on /admin
feat/controller-v2-final-closure	-	2026-08-22 15:55	4	167	4	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): D6 — the department membership surface F-10 never got
feat/controller-v2-foundation	-	2026-08-04 11:35	0	438	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): repair bootstrap seed + prove it against a real PostgreSQL
feat/controller-v2-foundation-integration	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-controller-v2	2026-08-08 14:51	0	385	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): implement Controller V2 foundation and registry-driven admin
feat/controller-v2-k1-capability-binding	-	2026-08-23 09:49	2	162	2	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into feat/controller-v2-k1-capability
feat/controller-v2-k3-event-sink	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-m08	2026-08-23 10:54	1	160	1	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): give the Event Bus a real production sink (K-3)
feat/controller-v2-login	-	2026-08-21 15:39	3	174	3	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into feat/controller-v2-login
feat/controller-v2-m01-daily-snapshots	-	2026-08-20 12:48	2	196	2	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): Module 01 rollback script + STATUS/taxonomy
feat/controller-v2-m04-user-analytics	-	2026-08-20 13:47	1	194	1	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): Module 04 User Analytics — growth, engagement, subscripti
feat/controller-v2-m08-account-status	-	2026-08-19 19:56	1	203	1	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): M08 account status isolated from profiles (ADR-022)
feat/controller-v2-m08-admin-users-surface	-	2026-08-20 11:45	1	198	1	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): Module 08 becomes a real Controller module — tappy.hub.us
feat/controller-v2-option-b	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-optionb	2026-08-09 13:12	0	378	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): trusted @tappyai.com corporate identity boundary (Option B, F-
feat/controller-v2-phase4-capability-binding	-	2026-08-19 12:20	1	226	1	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): phase 4 — capability binding, hub scope, config provider
feat/controller-v2-phase7-hub-shell	-	2026-08-19 13:14	1	223	1	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): phase 7 — the shell renders hubs, not a flat list
feat/controller-v2-phase8-founder-hub	-	2026-08-19 16:26	1	210	1	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): phase 8 — the Founder Hub gets its architected id
feat/controller-v2-public-home	-	2026-08-21 13:49	1	177	1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): public home at /controller — the Owner-approved front doo
feat/controller-v2-remove-dept-switcher	-	2026-08-21 15:27	1	177	1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): remove the department switcher — it offered a choice that 
feat/controller-v2-signout	-	2026-08-21 15:13	1	177	1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): the Controller can sign out
feat/controller-v2.1-dark-theme	-	2026-08-23 16:33	1	156	1	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): V2.1 — fixed dark Controller theme and derived department co
feat/controller-v22-entry	-	2026-08-23 18:08	1	152	1	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): V2.2 — Controller login hierarchy and department entry flow
feat/controller-v23-login	C:/Users/Admin/Claude/Projects/TappyAI/.worktrees/ctrl-v2-final	2026-08-23 18:54	1	150	1	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): V2.3 — Controller login visual redesign
feat/controller-v24-login	C:/wtctrl24	2026-08-29 17:52	1	112	1	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(controller): add admin notifications foundation and targeted send flow
feat/deals-brand-logos	-	2026-07-31 09:33	0	477	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(brand-registry): reframe as a shared platform capability
feat/deals-i18n	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-deals-i18n	2026-08-01 09:56	0	462	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(web/deals): localize DealNotifyButton (was hardcoded Vietnamese)
feat/decision-evidence-state	-	2026-08-24 11:05	5	147	5	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	test(consultative): repoint M21 — its anchor was the string the precedence fix
feat/delete-account-page	-	2026-08-06 10:08	0	424	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(legal): publish /delete-account for the Google Play listing
feat/delete-legacy-broadcast-route	-	2026-08-31 16:35	1	101	1	39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(notifications): delete the legacy broadcast route (contract 14.2 step 8)
feat/evidence-provenance-contract	-	2026-08-27 18:49	1	123	1	61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(consultative): A5.1 evidence-provenance boundary — dynamic values reach t
feat/g1-growth	D:/Claude/Projects/TappyAI/.worktrees/g1-growth	2026-09-13 15:51	13	34	52	11	1	1	0	0	1	1	0	0	0	0	0	0	0	0	feat(android): finalize v3 explore and creator experience
feat/gcp-observability	C:/wtobs	2026-08-23 17:53	2	153	2	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(observability): measure TTS character volume, without touching AI Consultat
feat/gcs-media-bridge	-	2026-08-11 13:07	0	340	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	build: stop the ESLint config cascade at the project root
feat/link-video-pipeline-v1	-	2026-07-26 09:19	0	552	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(reviews): unify link-video pipeline (V1: upload + YouTube + TikTok)
feat/m04-retention-cohort-metrics	-	2026-08-20 14:28	1	192	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): M04 retention — cohort_metrics, D1/D7/D30
feat/m08-admin-users-api	-	2026-08-20 10:40	2	201	2	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): M08 — apply Owner Decision A (ADR-023) on the admin read 
feat/m08-consumer-enforcement	-	2026-08-19 20:47	2	202	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(test): M08 enforcement suite must load on Node 20, as CI runs it
feat/m08-user-notes	-	2026-08-21 09:44	1	185	1	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): M08 internal admin notes — READY FOR MIGRATION AUTHORIZAT
feat/marketing-activation	-	2026-09-01 14:52	1	81	1	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(marketing): Phase D -- an activation path that refuses to activate
feat/marketing-audience	-	2026-09-01 14:14	1	84	1	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(marketing): Phase B -- the audience is what survives governance
feat/marketing-campaigns	-	2026-09-01 14:26	2	82	2	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into feat/marketing-campaigns
feat/marketing-consent-api	-	2026-09-01 13:58	2	85	2	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(marketing): every error this route returns now carries a message
feat/marketing-governance-foundation	-	2026-09-01 13:39	1	86	1	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(marketing): Phase A -- the governance foundation, before anything can send
feat/marketing-retention	-	2026-09-01 15:05	1	80	1	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(marketing): Phase E -- retention pruning, in the only order that works
feat/media-wif-check	-	2026-08-12 15:03	0	338	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(media): answer "can this deployment reach GCS?" before the switch
feat/module09-moderation	-	2026-08-21 10:56	1	182	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): Module 09 Content Moderation — READY FOR MIGRATION AUTHOR
feat/notif-unification-impl	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-notif	2026-07-26 13:01	0	548	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into feat/notif-unification-impl
feat/notification-unification	-	2026-07-26 08:58	0	552	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs+db(notifications): ADR-014 + Phase 0 migration (notifications table)
feat/phase-c-broadcast	C:/wtbroadcast	2026-08-30 16:37	1	107	1	45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(controller): Phase C — a governed, chunked, resumable broadcast
feat/plan-brochure-flight-links	-	2026-07-25 12:04	0	572	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(chat): accumulate places across all searches for plan photos
feat/privacy-policy-play	-	2026-08-04 15:54	0	432	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	refactor(legal): single-source the public support address
feat/remove-tiktok-v1	-	2026-07-26 11:03	0	551	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(web): remove TikTok from V1 video pipeline
feat/retire-legacy-broadcast-410	-	2026-08-31 13:42	4	103	4	41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	chore: merge main (#219 squash) — keep this branch additive
feat/settings-delete-account-link	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-settings-delete	2026-08-06 11:44	0	417	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(settings): expose Request Account Deletion on the web
feat/shopping-early-frame	-	2026-08-25 15:26	2	134	2	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	test: re-anchor two invariant guards the delivery split moved
feat/tappy-business-p0	D:/Claude/Projects/TappyAI/.worktrees/tappy-business-p0	2026-09-09 08:35	3	75	1	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	checkpoint(business): P0-P5 recovery point — the whole capability, in one comm
feat/tappyai-v2	-	2026-08-15 10:52	2	278	2	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(ai): reconcile C3-B.10.2 evidence
feat/tiktok-consultative-review-links	-	2026-08-16 09:11	1	253	1	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(chat): TikTok review links, but only ones the backend validated
feat/v3-ai-consultative	C:/Users/Admin/Claude/Projects/TappyAI/.worktrees/v3-phase1-ai-consultative	2026-09-03 12:42	2	74	3	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	perf(v3): optimize AI cost
feat/v3-qr-profile	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/eloquent-diffie-cb87f5	2026-09-06 16:55	25	357	25	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(qr-profile): V3 modal UI
feat/v3-scam-shield-ui	-	2026-09-06 16:04	20	357	20	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(scam-shield): V3 safety UI
feat/v3-user-data-foundation	D:/Claude/Projects/TappyAI/.worktrees/v3-user-data-foundation	2026-09-11 12:49	12	75	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(v3): separate discovery city from residence
feature/notification-mvp	-	2026-07-16 13:23	10	642	10	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	refactor(notifications): enum type, extension fields, drop milestone merge, fast
fix/a5-food-price-no-retrieval	-	2026-08-27 19:20	1	122	1	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(consultative): A5 price boundary skipped no-retrieval turns (P0)
fix/ai-language-consistency	-	2026-07-30 13:46	0	488	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore: empty commit to get a fresh Preview deployment URL for QA (2/2)
fix/android-account-deletion-entry	-	2026-08-15 18:17	1	255	1	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android): ship the account-deletion route /delete-account promises
fix/android-games-parity	-	2026-08-02 19:22	114	625	114	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(arcade-v2): Android inline SuperTux runtime
fix/android-plan-item-name-wrap	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-release	2026-08-07 11:11	128	625	128	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android): stop a long price pill squeezing the plan item name
fix/android-release-config	-	2026-08-06 11:06	127	625	127	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android): default release endpoints to production, fail on placeholders
fix/android-scan-gallery-decode	C:/wtandroid	2026-08-25 13:56	9	163	9	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android): gallery scan failed on every image — decode null-guard was on th
fix/bug-011-destination-scope	C:/Users/Admin/Claude/Projects/TappyAI/.worktrees/bug011-location-scope	2026-09-05 09:18	1	75	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(ai): scope place search to destination
fix/c3b10-2-money-guard	C:/Users/Admin/Claude/Projects/TappyAI/.worktrees/c3b10-2-verify	2026-08-15 11:16	0	274	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(ai): reconcile C3-B.10.2 evidence
fix/canonical-video-viewer	C:/wtvid	2026-09-01 12:45	1	90	1	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(reviews): one canonical presentation for a video post, on every entry point
fix/chat-image-layout	-	2026-07-25 11:16	0	575	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(chat): keep each place's images/links grouped under that place
fix/chat-latency-release-pre-tool-sentence	-	2026-08-28 09:56	1	119	1	57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(chat): release the opening sentence when the tool call proves it complete
fix/chat-route-mojibake	-	2026-08-13 19:55	1	298	1	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(chat): repair double-encoded Vietnamese in the chat route
fix/chat-streaming-latency-after-a5	-	2026-08-28 09:38	1	120	1	58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(chat): stop holding a places reply back for 13s to guard a price it never me
fix/chrome-shortcut-brand-icon	-	2026-08-29 15:47	1	114	1	52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(web): show the official TappyAI otter icon for the Chrome shortcut / favicon
fix/consultative-condition-provenance-claims	-	2026-08-24 09:13	1	148	1	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(consultative): a condition belongs only to the listing that states it
fix/consultative-quality-round1	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-consult	2026-08-27 10:37	2	130	2	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(consultative): stop apologizing about missing review links, pivot to Google 
fix/consultative-round2	-	2026-08-27 11:14	1	129	1	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(consultative): Phase A core — generalized shortlist, relaxation, review a
fix/consultative-round2-finalize	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-r2	2026-08-27 12:15	6	127	6	65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into fix/consultative-round2-finalize
fix/consultative-round2-wiring	-	2026-08-27 12:10	3	128	3	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into fix/consultative-round2-wiring
fix/controller-analytics-view-payload-binding	-	2026-08-22 10:50	1	169	1	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): bind analytics payloads to the view that asked for them
fix/controller-home-login-destination	-	2026-08-21 15:52	1	173	1	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): the Controller front door was sending people to the CONSUMER
fix/controller-origin-gate	C:/wtorigin	2026-08-30 14:53	3	108	3	46	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into fix/controller-origin-gate
fix/controller-shell-terminology	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-label	2026-08-09 15:54	0	370	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller): stop the Controller shell calling itself "Back Office"
fix/controller-suspend-fixture-expiry	C:/Users/Admin/Claude/Projects/TappyAI/.worktrees/ctrlfixture	2026-08-22 10:05	1	171	1	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	test(controller): the suspend fixture expired, so the test did
fix/controller-v2-audit1-deals-upload	-	2026-08-19 13:51	2	220	2	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(test): the architecture-guard test must not mutate the real src/ tree
fix/controller-v2-f04-grant-model-source-sync	-	2026-08-07 18:36	0	389	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): F-04 — align the audit-chain migration with Supabase's rea
fix/deals-android-parity	-	2026-08-22 16:02	1	167	1	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android): Deals rendered seven grey rows because the DTO named fields the fe
fix/delete-account-accuracy	-	2026-08-06 10:31	0	422	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(legal): describe the account-deletion flow the app actually ships
fix/deleted-review-404	C:/wt404	2026-09-01 11:40	1	94	1	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(reviews): a deleted review returns a real 404, not a 200 with "not found" in
fix/enrichment-name-matching	-	2026-07-25 17:01	0	553	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(chat): tiered place-name matching so enrichment stays per-place
fix/explore-deleted-clip-visibility	-	2026-08-15 17:34	1	258	1	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(explore): stop serving slides with nothing on them
fix/f01-reconciled	-	2026-08-22 15:19	1	167	1	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ai): F01 — validate WHERE the weather answer came from, not just the count
fix/f01-weather-country	-	2026-08-22 14:10	2	168	2	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(weather): prevent ambiguous Vietnam city resolution
fix/f01-weather-location-identity	-	2026-08-22 14:37	2	168	2	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ai): F01 follow-up — validate WHERE the answer came from, not just the cou
fix/f03-anonymous-price-watch	-	2026-08-22 14:03	1	168	1	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(api): F03 — an anonymous visitor may not create recurring paid work
fix/g1-place-guard-attribution	-	2026-09-17 21:14	11	0	86	13	1	0	0	0	1	1	0	1	1	1	0	0	0	0	test(parity): read sources CRLF-safe — the only red test on a Windows checkout
fix/ios-music-library-entry	C:/wtmusic	2026-08-27 20:39	2	121	2	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge origin/main into fix/ios-music-library-entry
fix/ios-platform-links-tiktok-parity	-	2026-08-15 16:33	1	260	1	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ios): drop the TikTok Shop link iOS built on its own
fix/landing-hero-logo-founder-bio	-	2026-08-01 11:15	0	452	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge origin/main into fix/landing-hero-logo-founder-bio for Landing release
fix/language-persistence	-	2026-07-25 15:33	0	564	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(i18n): always persist locale so the language picker doesn't reappear
fix/legacy-410-recorder-await	-	2026-08-31 14:19	1	102	1	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(audit): await the retirement recorder so cold-start hits are not lost
fix/legal-back-navigation	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-privacy-play	2026-08-06 08:54	0	428	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(legal): Back returns to the referring screen, not Home
fix/legal-single-source	-	2026-08-04 17:35	0	430	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(legal): one i18n-driven implementation per legal document
fix/like-list-count-click	C:/wtlike	2026-08-31 17:56	3	99	3	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(reviews): give the split like heart its own accessible name
fix/login-email-entry	-	2026-08-09 18:58	0	366	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(login): expose the existing email sign-in via /login?email=1
fix/login-return-and-touch-target	C:/wtux	2026-09-01 14:22	7	83	7	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge origin/main into fix/login-return-and-touch-target
fix/login-return-to-param	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-loginfix	2026-08-09 14:56	0	374	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(auth): login ignored the Controller's return destination (redirect vs return
fix/media-credential-stage-diagnostic	-	2026-08-18 11:00	1	232	1	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(media): an STS refusal must say what Google actually said
fix/media-deployment-identity	-	2026-08-12 15:29	0	336	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(media): read the deployment identity where production actually puts it
fix/media-server-completion	-	2026-08-13 10:18	0	327	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(media): let the server confirm what the browser is not allowed to see
fix/money-guard-dong-bypass	-	2026-08-28 10:51	1	118	1	56	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(ai): the money guard was blind to the word "đồng"
fix/music-cover-jamendo	-	2026-07-25 12:23	0	571	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	@ fix(music): whitelist Jamendo cover host so library thumbnails load
fix/music-track-lookup-list	-	2026-08-18 14:30	1	231	1	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(music): a hidden track must read as no rows, not as an error
fix/native-composer-link-provider-parity	-	2026-08-15 17:08	1	259	1	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(mobile): let the backend decide which link providers a composer offers
fix/nav-comment-accuracy	-	2026-08-10 14:35	0	347	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ci(controller): add regression and static quality gates
fix/notification-clip-context	C:/wtclip	2026-09-01 12:15	2	91	2	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into fix/notification-clip-context
fix/notification-otter-logo	-	2026-08-06 11:26	0	419	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(notifications): use the otter mascot, not the retired logo
fix/og-share-card-otter-logo	C:/wtperf	2026-08-29 16:39	1	113	1	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(share): use official TappyAI otter artwork for the OG/Twitter share card
fix/optimistic-state-rollback	C:/wtfix	2026-09-01 10:56	2	96	2	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into fix/optimistic-state-rollback
fix/pg06-07-deterministic-snapshot-probe	-	2026-08-19 13:22	1	223	1	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	test(audit-chain): make PG-06/PG-07 deterministic with an advisory-lock rendezvo
fix/phase0-production-hardening	C:/Users/Admin/Claude/Projects/TappyAI/.worktrees/phase0-hardening	2026-09-02 17:29	0	74	1	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(v3): harden production AI and client protocol
fix/place-website-ssrf	-	2026-09-01 15:50	2	77	2	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(ai): the place-website fetch could be aimed at our own network
fix/places-marker-contract	D:/Claude/Projects/TappyAI/tappyai-places-contract	2026-09-11 10:07	10	34	49	11	1	1	0	0	1	1	0	0	0	0	0	0	0	0	feat(ios): Place Card on the shared marker contract; fixtures 13→21; sentinel 
fix/platform-owner-revoke-public	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-secfix	2026-08-08 10:40	0	385	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(security): add rollback for platform owner revoke hotfix
fix/pre-uat-f1-f2	-	2026-08-21 12:11	1	178	1	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): pre-UAT F-1 and F-2 — parse nothing before the caller is k
fix/privacy-single-source	-	2026-08-04 17:14	1	431	1	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(legal): make /privacy the only Privacy Policy, 308 the old route
fix/profile-avatar-zalo	-	2026-08-28 12:03	2	117	2	55	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(profile): assert the image allowlist without a Next internal
fix/profile-feed-keeps-unrenderable	-	2026-08-15 17:52	1	256	1	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(explore): don't strand a post its author can no longer reach
fix/profile-grid-filler	-	2026-07-25 14:12	0	568	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(reviews): filler must match the page bg (bg-black), not the tile colour
fix/push-credential-ownership	C:/wtpush	2026-08-30 11:07	2	111	2	49	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(notifications): correct a false security claim in the ownership migration
fix/push-identity-reconcile	C:/wtpush2	2026-08-30 12:17	5	110	5	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into fix/push-identity-reconcile
fix/qr-ssrf-guard	-	2026-09-01 13:30	1	87	1	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(scam-shield): a QR code could make the server call an internal address
fix/refuse-anonymous-push-subscribe	-	2026-08-31 18:01	2	98	2	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	chore: merge main (#224) — keep this branch additive
fix/release-closure-class-a	-	2026-08-21 11:28	1	180	1	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(controller-v2): release-blocker audit — a missing i18n key, an invented pe
fix/restore-anonymous-claim-route	-	2026-08-09 14:56	0	374	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(auth): Anonymous Chat V1 backend — quota ACL, claim RPC, profile guard
fix/scam-shield-i18n	-	2026-08-06 09:42	0	426	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(scam-shield): SSRF bypass, i18n keys, dead code cleanup
